,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
ATG2A1,1.49013498899218e-12,0.318457944181509,0.261,0.174,3.84290912311193e-08,14,ATG2A
BIRC2,1.70693441923773e-12,0.282775906887508,0.279,0.192,4.40201317377218e-08,14,BIRC2
KDM5B1,2.49578105570192e-12,0.28492137772763,0.261,0.175,6.43636976454968e-08,14,KDM5B
NLRC5,2.61162611373257e-12,0.282065445579406,0.32,0.23,6.73512258470492e-08,14,NLRC5
ARHGAP151,3.89345187257343e-12,0.311141050541027,0.529,0.437,1.00408230341796e-07,14,ARHGAP15
DGKD,4.55302983856739e-12,0.294015392855431,0.266,0.181,1.17418086506814e-07,14,DGKD
TAGLN23,1.38796404462474e-11,0.255159115982557,0.654,0.562,3.57942047468273e-07,14,TAGLN2
PDE3B1,1.42898056789615e-11,0.264389177582007,0.411,0.316,3.68519798654737e-07,14,PDE3B
JOSD1,3.25187323177023e-11,0.250791011918103,0.346,0.256,8.38625587741225e-07,14,JOSD1
RNF139,3.8558647701067e-11,0.26254364106804,0.293,0.209,9.94388965562817e-07,14,RNF139
STK17A2,4.05873733681485e-11,0.294510531236796,0.575,0.49,1.04670777179118e-06,14,STK17A
CLDND12,4.54242746246247e-11,0.260092055821984,0.313,0.223,1.17144661829445e-06,14,CLDND1
IL322,5.74708024325045e-11,0.313288995018127,0.881,0.815,1.48211452393186e-06,14,IL32
RBL2,6.37386839099855e-11,0.264630253377846,0.461,0.373,1.64375691935461e-06,14,RBL2
IRF11,7.35673161154571e-11,0.277034904827412,0.727,0.646,1.89722751530152e-06,14,IRF1
HSPE12,1.2381757410266e-10,0.26764654951139,0.538,0.455,3.19313141853349e-06,14,HSPE1
TUT4,1.24812542996868e-10,0.253057216911247,0.428,0.336,3.21879067134623e-06,14,TUT4
ITGA42,2.33223459796393e-10,0.262071830129509,0.465,0.364,6.01459980468918e-06,14,ITGA4
SLFN51,7.92363926563643e-10,0.301443145222186,0.442,0.366,2.04342733021498e-05,14,SLFN5
SMAP2,3.5727519441982e-09,0.261978661098182,0.507,0.427,9.21376998889274e-05,14,SMAP2
BOD1L1,1.36833781171494e-08,0.254198467846786,0.467,0.395,0.000352880638263165,14,BOD1L1
TBL1XR1,1.94644683277653e-08,0.252961356121642,0.274,0.205,0.00050196917370474,14,TBL1XR1
IFITM12,1.1445741663969e-07,0.306390813158989,0.41,0.339,0.00295174231772096,14,IFITM1
CEBPB,4.14112500680071e-06,0.276159857524231,0.343,0.285,0.106795472800384,14,CEBPB
GZMK2,0,2.78183694313482,0.869,0.183,0,15,GZMK
FXYD2,0,1.79139983696385,0.512,0.029,0,15,FXYD2
